Company,Title,Salary,ID,URL
Tenpoint7,Sr. Full Stack (React/Python/JavaScript),"1,500 - 2,300 USD",1455,https://itviec.com/it-jobs/senior-full-stack-python-java-linux-tenpoint7-4756
Autonomous,"Senior AI Engineer-Python, Golang, C/C",Thương lượng,1453,https://itviec.com/it-jobs/senior-ai-engineer-python-golang-c-c-autonomous-4822
Tenpoint7,"Senior Full Stack (ReactJS, Python, SQL)","1,500 - 2,300 USD",1452,https://itviec.com/it-jobs/senior-full-stack-reactjs-python-sql-tenpoint7-3859
ZALORA Group,"10 Software Developers (PHP,Java,Python)","1,000 - 2,000 USD",1451,https://itviec.com/it-jobs/10-software-developers-php-java-python-zalora-group-4702
Steinsvik,Artificial Intelligence Dev. (Nha Trang),Thương lượng,1454,https://itviec.com/it-jobs/artificial-intelligence-dev-nha-trang-steinsvik-1204
Saritasa,DevOps Engineer (System Engineer),Thương lượng,1450,https://itviec.com/it-jobs/devops-engineer-system-engineer-saritasa-4337
CÔNG TY TNHH PHÁT TRIỂN PHẦN MỀM FEOS,Thực Tập Lập Trình Python ( Fresher Developer),Thương lượng,1449,https://mywork.com.vn/tuyen-dung/viec-lam/1096544/thuc-tap-lap-trinh-python-(-fresher-developer).html
Saritasa,DevOps Engineer (System Engineer),Thương lượng,1450,https://itviec.com/it-jobs/devops-engineer-system-engineer-saritasa-4337
AOI Systems Viet Nam,5 Developers (Python/Angular/Javascript),600 - 900 USD,1448,https://itviec.com/it-jobs/5-developers-python-angular-javascript-aoi-systems-viet-nam-5018
Q-mama Holdings,FullStack Dev (NodeJs/Python/JavaScript),Thương lượng,1443,https://itviec.com/it-jobs/fullstack-dev-nodejs-python-javascript-q-mama-holdings-0905
VIỄN THÔNG 3G VIỆT NAM,"Developer (Java, Python, C language)",Thương lượng,1444,https://itviec.com/it-jobs/developer-java-python-c-language-cong-ty-co-phan-vien-thong-3g-viet-nam-5454
Trung tâm Phát triển hạ tầng CNTT Đà Nẵng,"Phó Phòng Hệ thống (System, Network)",Thương lượng,1445,https://itviec.com/it-jobs/pho-phong-he-thong-system-network-trung-tam-phat-trien-ha-tang-cntt-da-nang-1459
iLogic,Senior Full-stack (Python/PHP) developer,"800 - 1,600 USD",1446,https://itviec.com/it-jobs/senior-full-stack-python-php-developer-ilogic-1850
East Asia Technology Development Company Limited,Python Developer,"1 - 0 - , - 0 - 0 - 0 - , - 0 - 0 - 0 - | - 1 - 2 - , - 0 - 0 - 0 - , - 0 - 0 - 0 -   - V - N - D",1442,https://mywork.com.vn/tuyen-dung/viec-lam/1095695/python-developer.html
CEL Consulting,Software Developer (Go/Python/C++),"600 - 2,500 USD",1441,https://itviec.com/it-jobs/software-developer-go-python-c-cel-consulting-0422
SkyLab,"DevOps Engineer (Python, Linux)",Thương lượng,1440,https://itviec.com/it-jobs/devops-engineer-python-linux-skylab-0339
Home Credit Vietnam | PPF,Sr. Data Visualization Engineer,Thương lượng,1439,https://itviec.com/it-jobs/sr-data-visualization-engineer-home-credit-vietnam-ppf-2428
Intelligence Business Solutions,20 Seniors (Python/ROR/PHP/Java) - 1500$,"800 - 1,500 USD",1438,https://itviec.com/it-jobs/20-seniors-python-ror-php-java-1500-intelligence-business-solutions-5358
