Company,Title,Salary,ID,URL
Yeah1 Network,Full Stack Developer (Ruby/Python/Go),Thương lượng,1105,https://itviec.com/it-jobs/full-stack-developer-ruby-python-go-yeah1-network-4835
Chotot,"Back-end Developer (NodeJS, Python)",Thương lượng,1106,https://itviec.com/it-jobs/back-end-developer-nodejs-python-chotot-5526
Viettel Cyberspace Center,"15 Data Mining (Python, Java, Scala)","800 - 1,500 USD",1109,https://itviec.com/it-jobs/15-data-mining-python-java-scala-viettel-cyberspace-center-4906
"Wacontre Co,ltd,.",BSE (PYTHON) BIẾT TIẾNG ANH TẠI QUẬN 1 ( NA),Thương lượng,1096,https://www.jobstreet.vn/vi/job/bse-python-biet-tieng-anh-tai-quan-1-na-463569?fr=21
First Alliances,DATA EXTRACTION,"40,000,000 - 45,000,000|VND",1103,http://careerbuilder.vn/vi/tim-viec-lam/data-extraction.35AC72B8.html
Công Ty Cổ Phần VNG,System Engineer (Payment),Thương lượng,1095,https://www.jobstreet.vn/vi/job/system-engineer-payment-461807?fr=21
Công Ty Cổ Phần Codelovers Việt Nam,Python Developer,Thương lượng,1092,https://www.jobstreet.vn/vi/job/python-developer-460990?fr=21
FIRST ALLIANCES (Công Ty TNHH TM-DV Đệ Nhất Liên Bang),Principal Software Engineer,Thương lượng,1093,https://www.jobstreet.vn/vi/job/principal-software-engineer-462966?fr=21
Công ty TNHH It's A Beautiful Way,Back-end Developer,Thương lượng,1094,https://www.jobstreet.vn/vi/job/back-end-developer-460954?fr=21
ZALORA Group,"10 Software Developers (PHP,Java,Python)","1,000 - 2,000 USD",1104,https://itviec.com/it-jobs/10-software-developers-php-java-python-zalora-group-2958
Yeah1 Network,Full Stack Developer (Ruby/Python/Go),Thương lượng,1105,https://itviec.com/it-jobs/full-stack-developer-ruby-python-go-yeah1-network-4835
Cty CP Công Nghệ Đông Dương,Tuyển dụng lập trình viên Python,Thương lượng,1091,https://www.jobstreet.vn/vi/job/tuyen-dung-lap-trinh-vien-python-465382?fr=21
Orange Logic,"Software Engineer (Python, Java, C#)",Thương lượng,1120,https://itviec.com/it-jobs/software-engineer-orange-logic-5140
MIRAWAY,"Backend Developers (C/C++, Python, Java)",Thương lượng,1113,https://itviec.com/it-jobs/backend-developers-c-c-python-java-miraway-1657
Fourth Valley Concierge Viet Nam,Mechanical Engineer (Work In Japan),Thương lượng,1067,http://careerbuilder.vn/vi/tim-viec-lam/mechanical-engineer-work-in-japan.35AC6D36.html
FPT Telecom - Công Ty Cổ Phần Viễn Thông FPT,NHÂN VIÊN LẬP TRÌNH HỆ THỐNG (DEVOPS),"10,000,000 - 15,000,000|VND",1066,http://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-lap-trinh-he-thong-devops.35AC6E8F.html
SolarBK,Lập Trình Viên Odoo (OpenERP),"10,000,000 - 20,000,000|VND",1063,http://careerbuilder.vn/vi/tim-viec-lam/lap-trinh-vien-odoo-openerp.35AC6B6A.html
Unitec Solution Vietnam,Lập Trình Viên (Không Yêu Cầu Kinh Nghiệm),"8,000,000 - 12,000,000|VND",1062,http://careerbuilder.vn/vi/tim-viec-lam/lap-trinh-vien-khong-yeu-cau-kinh-nghiem.35AC6676.html
Công Ty Cổ Phần VCCORP,System Administrator ( Khối SohaGame),"12,000,000 - 25,000,000|VND",1060,http://careerbuilder.vn/vi/tim-viec-lam/system-administrator-khoi-sohagame.35AC643C.html
CÔNG TY TNHH GLOBE 3 ERP VIỆT NAM,Software Engineer (Hà Nội),450 - 800|USD,1058,http://careerbuilder.vn/vi/tim-viec-lam/software-engineer-ha-noi.35AC62A6.html
Tổ Hợp Công Nghệ Giáo Dục Topica,Chuyên Viên Phát triển Công nghệ Topica Native Global (TD1708005),"15,000,000 - 20,000,000|VND",1056,http://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-phat-trien-cong-nghe-topica-native-global-td1708005.35AC601E.html
First Alliances,Python Developer,600 - 1.500|USD,1054,http://careerbuilder.vn/vi/tim-viec-lam/python-developer.35AC5F81.html
Atlas Industries (Vietnam) Ltd.,"BIM Application Developer (C#, Python)",Thương lượng,1053,http://careerbuilder.vn/vi/tim-viec-lam/bim-application-developer-c-python.35AC5FD2.html
Vietnamobile Jsc.,[URGENT] Siem Fraud RA Monitor Assistant Manager,Thương lượng,1052,http://careerbuilder.vn/vi/tim-viec-lam/urgent-siem-fraud-ra-monitor-assistant-manager.35AC5F8E.html
FPT Telecom - Công Ty Cổ Phần Viễn Thông FPT,"Back end Dev (Python, nodejs, java, php ...)","10,000,000 - 18,000,000|VND",1050,http://careerbuilder.vn/vi/tim-viec-lam/back-end-dev-python-nodejs-java-php.35AC5CA5.html
SaoBacDau Technologies Corporation,Chuyên Viên Cloud/Openstack (Hệ Thống Linux),"10,000,000 - 25,000,000|VND",1049,http://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-cloud-openstack-he-thong-linux.35AC5BB3.html
First Alliances,Principal Software Engineer,1.500 - 2.000|USD,1041,http://careerbuilder.vn/vi/tim-viec-lam/principal-software-engineer.35AC5897.html
FPT Telecom - Công Ty Cổ Phần Viễn Thông FPT,"Kỹ Sư Bảo Mật Hệ Thống, Ứng Dụng (App Security, Pentester)","12,000,000 - 20,000,000|VND",1043,http://careerbuilder.vn/vi/tim-viec-lam/ky-su-bao-mat-he-thong-ung-dung-app-security-pentester.35AC5A65.html
Tổ Hợp Công Nghệ Giáo Dục Topica,Chuyên gia Phát triển Công nghệ Topica Native Global (TD1708005),"10,000,000 - 15,000,000|VND",1046,http://careerbuilder.vn/vi/tim-viec-lam/chuyen-gia-phat-trien-cong-nghe-topica-native-global-td1708005.35AC5931.html
"Avery Dennison RIS Vietnam Co., Ltd",Data Automation Specialist,Thương lượng,1044,http://careerbuilder.vn/vi/tim-viec-lam/data-automation-specialist.35AC55D4.html
Công ty Cổ Phần T-zone,Kỹ Sư Phần Mềm,"10,000,000 - 12,000,000|VND",1047,http://careerbuilder.vn/vi/tim-viec-lam/ky-su-phan-mem.35ABFBEC.html
SolarBK,Lập Trình Viên Odoo (OpenERP),"10,000,000 - 20,000,000|VND",1045,http://careerbuilder.vn/vi/tim-viec-lam/lap-trinh-vien-odoo-openerp.35AC582F.html
Công ty Cổ Phần T-zone,Kỹ Sư Phần Mềm,"10,000,000 - 12,000,000|VND",1048,http://careerbuilder.vn/vi/tim-viec-lam/ky-su-phan-mem.35AC58C0.html
FPT Telecom - Công Ty Cổ Phần Viễn Thông FPT,Back End Developer (Python),"10,000,000 - 17,000,000|VND",1038,http://careerbuilder.vn/vi/tim-viec-lam/back-end-developer-python.35AC4F08.html
FPT Telecom - Công Ty Cổ Phần Viễn Thông FPT,"System Engineer (Cloud, Docker, Devops ...)","10,000,000 - 15,000,000|VND",1034,http://careerbuilder.vn/vi/tim-viec-lam/system-engineer-cloud-docker-devops.35AC4F15.html
IFIND JOINT STOCK COMPANY,Tech Lead,"20,000,000 - 25,000,000|VND",1036,http://careerbuilder.vn/vi/tim-viec-lam/tech-lead.35AC5003.html
IFIND JOINT STOCK COMPANY,Tech Lead,"20,000,000 - 25,000,000|VND",1036,http://careerbuilder.vn/vi/tim-viec-lam/tech-lead.35AC5003.html
FPT Telecom - Công Ty Cổ Phần Viễn Thông FPT,"System Engineer (Cloud, Docker, Devops ...)","10,000,000 - 15,000,000|VND",1034,http://careerbuilder.vn/vi/tim-viec-lam/system-engineer-cloud-docker-devops.35AC4F15.html
YEAH1 NETWORK,Junior developer,600 - 700|USD,1031,http://careerbuilder.vn/vi/tim-viec-lam/junior-developer.35AC4E72.html
YEAH1 NETWORK,Senior Full Stack Developer,800 - 1.000|USD,1032,http://careerbuilder.vn/vi/tim-viec-lam/senior-full-stack-developer.35AC4E68.html
YEAH1 NETWORK,Junior Web Delevoper,"12,000,000 - 15,000,000|VND",1029,http://careerbuilder.vn/vi/tim-viec-lam/junior-web-delevoper.35AC4B9E.html
YEAH1 NETWORK,Junior Web Developer,"12,000,000 - 15,000,000|VND",1026,http://careerbuilder.vn/vi/tim-viec-lam/junior-web-developer.35AC4355.html
VPĐD Công Ty TNHH Jellyfish HR Tại Thành phố Hồ Chí Minh,Python Developer,Thương lượng,1025,https://www.jobstreet.vn/vi/job/python-developer-459737?fr=21
Công Ty Cổ Phần VNG,Data Scientist (17-ZMB-0331),Thương lượng,1024,https://www.jobstreet.vn/vi/job/data-scientist-17-zmb-0331-454947?fr=21
FPT Information System,[FPT-IS HN] Nhân viên Trung tâm An ninh mạng,"10,000,000 - 20,000,000|VND",1022,http://careerbuilder.vn/vi/tim-viec-lam/fpt-is-hn-nhan-vien-trung-tam-an-ninh-mang.35AC40F3.html
SolarBK,Lập Trình Viên Odoo (OpenERP),"10,000,000 - 20,000,000|VND",1023,http://careerbuilder.vn/vi/tim-viec-lam/lap-trinh-vien-odoo-openerp.35AC425C.html
Tổ Hợp Công Nghệ Giáo Dục TOPICA,Chuyên viên Kỹ thuật (TD1707024),"7,000,000 - 10,000,000|VND",1021,http://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-ky-thuat-td1707024.35AC3E72.html
Atlas Industries (Vietnam) Ltd.,"BIM Application Developer (C#, Python)",Thương lượng,1019,http://careerbuilder.vn/vi/tim-viec-lam/bim-application-developer-c-python.35AC3847.html
Công ty CP Công Nghệ VMODEV Hà Nội,Automation Tester,Thương lượng,1020,https://www.jobstreet.vn/vi/job/automation-tester-457143?fr=21
SolarBK,Lập Trình Viên Odoo (OpenERP),"10,000,000 - 20,000,000|VND",1018,http://careerbuilder.vn/vi/tim-viec-lam/lap-trinh-vien-odoo-openerp.35AC34E0.html
Giao hàng tiết kiệm,Chuyên viên R&D,"15,000,000 - 25,000,000|VND",1017,http://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-r-d.35AC355B.html
Công Ty Cổ Phần giải Pháp Thanh Toán Việt Nam (VNPAY),Nhân viên quản trị hệ thống server,Thương lượng,1016,http://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-quan-tri-he-thong-server.35AC3099.html
Chi Nhánh Tại Thành Phố Hồ Chí Minh - Công Ty TNHH Reeracoen Việt Nam,Senior Front End Engineer ID10877P,1.500 - 2.500|USD,1014,http://careerbuilder.vn/vi/tim-viec-lam/senior-front-end-engineer-id10877p.35AC2CF1.html
REERACOEN VIETNAM,Senior Front End Engineer ID10877PA,Thương lượng,1015,https://www.jobstreet.vn/vi/job/senior-front-end-engineer-id10877pa-456657?fr=21
Công Ty Harvey Nash (Việt Nam),Lead Data Scientist,3.500 - 4.000|USD,1013,http://careerbuilder.vn/vi/tim-viec-lam/lead-data-scientist.35AC2B26.html
SolarBK,Lập Trình Viên Odoo (OpenERP),"10,000,000 - 20,000,000|VND",1011,http://careerbuilder.vn/vi/tim-viec-lam/lap-trinh-vien-odoo-openerp.35AC27A9.html
TALENT TRADER GROUP PTE. LTD.,Back-End Engineer (PHP/Python/MySQL),Thương lượng,1012,https://www.jobstreet.vn/vi/job/back-end-engineer-phppythonmysql-455961?fr=21
Cinnamon,Python developer | 15.000.000 - 25.000.000 VNĐ,"15,000,000 VNĐ - 25,000,000 VNĐ",1010,https://topdev.vn/detail-jobs/python-developer-15000000-25000000-vnd-5031
FPT Telecom - Công Ty Cổ Phần Viễn Thông FPT,Senior Developer,"15,000,000 - 20,000,000|VND",1006,http://careerbuilder.vn/vi/tim-viec-lam/senior-developer.35AC253F.html
FPT Telecom - Công Ty Cổ Phần Viễn Thông FPT,Junior Developer,"10,000,000 - 12,000,000|VND",1005,http://careerbuilder.vn/vi/tim-viec-lam/junior-developer.35AC2559.html
FPT Telecom - Công Ty Cổ Phần Viễn Thông FPT,Python Web Developer,"12,000,000 - 15,000,000|VND",1007,http://careerbuilder.vn/vi/tim-viec-lam/python-web-developer.35AC2584.html
AOI Systems Viet Nam,PYTHON DEVELOPER,"10,000,000 - 16,000,000|VND",1008,http://careerbuilder.vn/vi/tim-viec-lam/python-developer.35AC240E.html
ZALORA,"Software Engineer (PHP, Java, Python) | $1000 - $2000.","$1,000 - $2,000",1009,https://topdev.vn/detail-jobs/software-engineer-php-java-python-1000-2000-5408
TALENT TRADER GROUP PTE. LTD.,Back-End Engineer (PHP/Python/MySQL),Thương lượng,1004,https://www.jobstreet.vn/vi/job/back-end-engineer-phppythonmysql-455118?fr=21
Polyunitgroup,Python Developer,Thương lượng,1003,https://www.jobstreet.vn/vi/job/python-developer-452808?fr=21
Công Ty Harvey Nash (Việt Nam),Web Developer,2.300 - 2.500|USD,1002,http://careerbuilder.vn/vi/tim-viec-lam/web-developer.35AC2221.html
Công Ty Cổ Phần VNG,"Security & Safety Executive, Zalo (17-ZMB-0524)",Thương lượng,1000,https://www.jobstreet.vn/vi/job/security-safety-executive-zalo-17-zmb-0524-454819?fr=21
IFIND JOINT STOCK COMPANY,Tech Lead,"20,000,000 - 25,000,000|VND",999,http://careerbuilder.vn/vi/tim-viec-lam/tech-lead.35AC1F61.html
Công Ty TNHH H2 Technology,Back-End Web Developer (Lập trình Web Back-End),Thương lượng,1001,https://www.jobstreet.vn/vi/job/back-end-web-developer-lap-trinh-web-back-end-454582?fr=21
Cty CP Công Nghệ Đông Dương,TUYỂN LẬP TRÌNH VIÊN PYTHON,Thương lượng,998,https://www.jobstreet.vn/vi/job/tuyen-lap-trinh-vien-python-454123?fr=21
SolarBK,Lập Trình Viên Odoo (OpenERP),"10,000,000 - 20,000,000|VND",996,http://careerbuilder.vn/vi/tim-viec-lam/lap-trinh-vien-odoo-openerp.35AC1B7C.html
Chi Nhánh Tại Thành Phố Hồ Chí Minh - Công Ty TNHH Reeracoen Việt Nam,Data Scientist ID11061P,1.000 - 4.000|USD,997,http://careerbuilder.vn/vi/tim-viec-lam/data-scientist-id11061p.35AC130E.html
TALENT TRADER GROUP PTE. LTD.,Back-End Engineer (PHP/Python/MySQL),Thương lượng,995,https://www.jobstreet.vn/vi/job/back-end-engineer-phppythonmysql-453843?fr=21
Monroe Consulting Group,BIM Application Developer (Architectural & Engineering),Thương lượng,994,http://careerbuilder.vn/vi/tim-viec-lam/bim-application-developer-architectural-engineering.35AC1A20.html
First Alliances,Data Extraction Lead Engineer,Thương lượng,992,http://careerbuilder.vn/vi/tim-viec-lam/data-extraction-lead-engineer.35AC1822.html
TALENT TRADER GROUP PTE. LTD.,Back-End Engineer (PHP/Python/MySQL),Thương lượng,993,https://www.jobstreet.vn/vi/job/back-end-engineer-phppythonmysql-453455?fr=21
First Alliances,Data Operations (Night Shift),Thương lượng,991,http://careerbuilder.vn/vi/tim-viec-lam/data-operations-night-shift.35AC1832.html
ODDLE,DevOps Engineer (AWS / SQL),Không xác định,990,https://itviec.com/it-jobs/devops-engineer-aws-sql-oddle-3210
OFFICIENCE,Python Developer,Thương lượng,988,https://www.jobstreet.vn/vi/job/python-developer-452360?fr=21
VPĐD Công Ty TNHH Jellyfish HR Tại Thành phố Hồ Chí Minh,"BrSE ( Python Engineer, English)",Thương lượng,987,https://www.jobstreet.vn/vi/job/brse-python-engineer-english-452342?fr=21
Công Ty Cổ Phần Giải Pháp Phần Mềm Hanel,Thực Tập Lập Trình Viên .net/php/ios/android/python,"1 - , - 0 - 0 - 0 - , - 0 - 0 - 0 - | - 3 - , - 0 - 0 - 0 - , - 0 - 0 - 0 -   - V - N - D",989,https://mywork.com.vn/tuyen-dung/viec-lam/1021818/thuc-tap-lap-trinh-vien-netphpiosandroidpython.html
Chi Nhánh Tại Thành Phố Hồ Chí Minh - Công Ty TNHH Reeracoen Việt Nam,Senior Front End Engineer ID10877PA,1.500 - 2.500|USD,982,http://careerbuilder.vn/vi/tim-viec-lam/senior-front-end-engineer-id10877pa.35AC1319.html
VPĐD Công Ty TNHH Jellyfish HR Tại Thành phố Hồ Chí Minh,"BrSE ( Python Engineer, English)",Thương lượng,987,https://www.jobstreet.vn/vi/job/brse-python-engineer-english-452342?fr=21
OFFICIENCE,Python Developer,Thương lượng,988,https://www.jobstreet.vn/vi/job/python-developer-452360?fr=21
Công ty CP Công Nghệ VMODEV Hà Nội,Automation Tester,Thương lượng,984,https://www.jobstreet.vn/vi/job/automation-tester-452174?fr=21
VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN PHÁT TRIỂN CÔNG NGHỆ VIỄN THÔNG TIN HỌC SUN VIỆT,DevOPS (Kỹ sư lập trình – phát triển hệ thống),Thương lượng,986,https://www.jobstreet.vn/vi/job/devops-ky-su-lap-trinh-phat-trien-he-thong-452633?fr=21
SolarBK,Lập Trình Viên Odoo (OpenERP),"10,000,000 - 20,000,000|VND",979,http://careerbuilder.vn/vi/tim-viec-lam/lap-trinh-vien-odoo-openerp.35AC10BE.html
SaoBacDau Technologies Corporation,System Admin (LINUX),"10,000,000 - 20,000,000|VND",980,http://careerbuilder.vn/vi/tim-viec-lam/system-admin-linux.35AC0F6A.html
SaoBacDau Technologies Corporation,Chuyên Viên Cloud/Openstack (Hệ Thống Linux),"10,000,000 - 30,000,000|VND",978,http://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-cloud-openstack-he-thong-linux.35AC0F63.html
IFIND JOINT STOCK COMPANY,Tech Lead,"20,000,000 - 25,000,000|VND",977,http://careerbuilder.vn/vi/tim-viec-lam/tech-lead.35AC1003.html
MSV-Tech,System Admin (Tech Support),Không xác định,981,https://itviec.com/it-jobs/system-admin-msv-tech-4739
Atlas Industries (Vietnam) Ltd.,BIM Application Developer,Thương lượng,974,http://careerbuilder.vn/vi/tim-viec-lam/bim-application-developer.35ABFACE.html
"Wacontre Co,ltd,.",Kỹ sư cầu nối Python - Python BrSE - 007,Thương lượng,975,https://www.jobstreet.vn/vi/job/ky-su-cau-noi-python-python-brse-007-451900?fr=21
ZALORA,"[HCM] Software Engineer (PHP, Java, Python) | Salary from $1000 to $2000.","$1,000 - $2,000",976,https://topdev.vn/detail-jobs/hcm-software-engineer-php-java-python-salary-from-1000-to2000-5408
hasBrain,Backend Developer (NodeJS/Python/Scala),Không xác định,973,https://itviec.com/it-jobs/backend-developer-nodejs-python-scala-hasbrain-4837
Chi Nhánh Gotadi – Công Ty TNHH Du Lịch Và Dịch Vụ Hàng Không Hoàng Gia,CHUYÊN VIÊN PHÂN TÍCH DỮ LIỆU – DATA ANALYST,Thương lượng,970,http://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-phan-tich-du-lieu-%E2%80%93-data-analyst.35AC0B30.html
Chi Nhánh Gotadi – Công Ty TNHH Du Lịch Và Dịch Vụ Hàng Không Hoàng Gia,CHUYÊN VIÊN PHÂN TÍCH DỮ LIỆU – DATA ANALYST,Thương lượng,970,http://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-phan-tich-du-lieu-%E2%80%93-data-analyst.35AC0B30.html
NTQ Solution,"02 Odoo Developers (Java, HTML5, Python)",Không xác định,972,https://itviec.com/it-jobs/02-odoo-developers-java-html5-python-ntq-solution-0544
HR Vietnam’s ESS Client,DevOps Engineer,1.000 - 1.500|USD,969,http://careerbuilder.vn/vi/tim-viec-lam/devops-engineer.35AC0734.html
SolarBK,Lập Trình Viên Odoo (OpenERP),"10,000,000 - 20,000,000|VND",967,http://careerbuilder.vn/vi/tim-viec-lam/lap-trinh-vien-odoo-openerp.35AC0629.html
Scandinavian Staffing,"Senior System Admin, Ubuntu Server",Không xác định,968,https://itviec.com/it-jobs/senior-system-admin-ubuntu-server-scandinavian-staffing-3248
ZALORA Group,Software Developers (PHP/ Java/ Python),Không xác định,965,https://itviec.com/it-jobs/software-developers-php-java-python-zalora-group-3624
Công Ty Cổ Phần Tư Vấn Nhân Lực NIC,Giám Đốc Kỹ Thuật CTO (Chief Technical Officer) – GAME ($ 4.000),Thương lượng,966,https://www.jobstreet.vn/vi/job/giam-doc-ky-thuat-cto-chief-technical-officer-game-4000-450611?fr=21
User Experience Researchers,Back-End Developer/Web Developer,Không xác định,963,https://itviec.com/it-jobs/back-end-developer-web-developer-user-experience-researchers-2623
"Wacontre Co,ltd,.",BSE (PYTHON) BIẾT TIẾNG ANH TẠI QUẬN 1 (NA),Thương lượng,964,https://www.jobstreet.vn/vi/job/bse-python-biet-tieng-anh-tai-quan-1-na-450017?fr=21
"RGF HR Agent Vietnam Co., LTD",BIM Application Developer,Thương lượng,961,http://careerbuilder.vn/vi/tim-viec-lam/bim-application-developer.35AC00D4.html
SaoBacDau Technologies Corporation,Cộng Tác Viên Dự Án IoT (Kết Nối Gateway Lên Cloud) - Freelance,"6,000,000 - 15,000,000|VND",962,http://careerbuilder.vn/vi/tim-viec-lam/cong-tac-vien-du-an-iot-ket-noi-gateway-len-cloud-freelance.35ABFF63.html
"RGF HR Agent Vietnam Co., LTD",BIM Application Developer,Thương lượng,960,http://careerbuilder.vn/vi/tim-viec-lam/bim-application-developer.35ABFC2A.html
Datalogic Việt Nam,03 Software Testers (QA QC/ Linux),Không xác định,959,https://itviec.com/it-jobs/03-software-testers-qa-qc-linux-datalogic-viet-nam-5723
Advanced Engineering Management,Python Developer,Không xác định,957,https://itviec.com/it-jobs/python-developer-advanced-engineering-management-3254
Advanced Engineering Management,Team Leader / Manager,Không xác định,958,https://itviec.com/it-jobs/team-leader-manager-advanced-engineering-management-3005
"Wacontre Co,ltd,.",English BSE（Python）-(DH),Thương lượng,956,https://www.jobstreet.vn/vi/job/english-bsepython-dh-449389?fr=21
Công ty Cổ phần Đầu tư Mobino,Lập trình hệ thống,Thương lượng,955,https://www.jobstreet.vn/vi/job/lap-trinh-he-thong-446039?fr=21
Rainmaker Labs,Web Developer – Python,Không xác định,953,https://itviec.com/it-jobs/web-developer-python-rainmaker-labs-1549
MISFIT,(Sr.) Back-end Engineer (Ruby/ Python),Không xác định,954,https://itviec.com/it-jobs/sr-back-end-engineer-ruby-python-misfit-5243
Trusting Social,"Data Scientists (Python, SQL)",Không xác định,951,https://itviec.com/it-jobs/data-scientists-python-sql-trusting-social-5346
SolarBK,Lập Trình Viên Odoo (OpenERP),"10,000,000 - 20,000,000|VND",949,http://careerbuilder.vn/vi/tim-viec-lam/lap-trinh-vien-odoo-openerp.35ABFA94.html
Atlas Industries (Vietnam) Ltd.,BIM Application Developer (Phát triển Công nghệ Ứng dụng BIM),Thương lượng,950,http://careerbuilder.vn/vi/tim-viec-lam/bim-application-developer-phat-trien-cong-nghe-ung-dung-bim.35ABFACE.html
Giao Hàng Nhanh (GHN),Senior Fullstack Software Engineer,Không xác định,952,https://itviec.com/it-jobs/senior-fullstack-software-engineer-giao-hang-nhanh-ghn-1429
Công ty Cổ phần Công nghệ Sen Đỏ,Data Scientist,Thương lượng,948,https://www.jobstreet.vn/vi/job/data-scientist-447860?fr=21
FPT Telecom - Công Ty Cổ Phần Viễn Thông FPT,Back End Developer (Python),"10,000,000 - 18,000,000|VND",947,http://careerbuilder.vn/vi/tim-viec-lam/back-end-developer-python.35ABF81D.html
FPT Telecom - Công Ty Cổ Phần Viễn Thông FPT,Junior Devops (backend - python),"10,000,000 - 20,000,000|VND",945,http://careerbuilder.vn/vi/tim-viec-lam/junior-devops-backend-python.35ABF81A.html
Thu Do Multimedia,Back-end Developer (PHP/Python/NodeJS),Không xác định,944,https://itviec.com/it-jobs/back-end-developer-php-python-nodejs-thu-do-multimedia-0319
Knorex,"Research Engineer (NLP) - Python, Java",Không xác định,941,https://itviec.com/it-jobs/research-engineer-nlp-python-java-knorex-1358
Công ty Cổ phần Công nghệ Sen Đỏ,Data Scientist (up to $2500),Thương lượng,942,https://www.jobstreet.vn/vi/job/data-scientist-up-to-2500-447860?fr=21
FiteGlobal,"Team Leader (Python, Ruby on Rails)",Không xác định,940,https://itviec.com/it-jobs/team-leader-python-ruby-on-rails-fiteglobal-1021
FiteGlobal,"Full Stack Developer (Python, Rails)",Không xác định,937,https://itviec.com/it-jobs/full-stack-developer-fiteglobal-3105
Công ty Cổ phần Công nghệ Sen Đỏ,Data Scientist (up to $2500),Thương lượng,942,https://www.jobstreet.vn/vi/job/data-scientist-up-to-2500-447860?fr=21
Knorex,"Research Engineer (NLP) - Python, Java",Không xác định,941,https://itviec.com/it-jobs/research-engineer-nlp-python-java-knorex-1358
TMA Solutions,Embedded FW and Linux SDK/API Validation,Thương lượng,933,http://careerbuilder.vn/vi/tim-viec-lam/embedded-fw-and-linux-sdk-api-validation.35ABEF7D.html
TMA Solutions,Tester,"7,000,000 - 15,000,000|VND",934,http://careerbuilder.vn/vi/tim-viec-lam/tester.35ABEF8A.html
TMA Solutions,Devops,Thương lượng,935,http://careerbuilder.vn/vi/tim-viec-lam/devops.35ABEF88.html
Atlas Industries (Vietnam) Limited,"BIM Application Developer (C#, Python)",Không xác định,932,https://itviec.com/it-jobs/bim-application-developer-c-python-atlas-industries-vietnam-limited-4330
SolarBK,Lập Trình Viên Odoo (OpenERP),"10,000,000 - 20,000,000|VND",929,http://careerbuilder.vn/vi/tim-viec-lam/lap-trinh-vien-odoo-openerp.35ABEE10.html
Chotot,"Back-end Developer (NodeJS, Python)",Không xác định,930,https://itviec.com/it-jobs/back-end-developer-nodejs-python-chotot-4931
Công ty tin học Đất Lành,Công Ty Goodland Informatics Tuyển Dụng Python Developer,"7 - , - 0 - 0 - 0 - , - 0 - 0 - 0 - | - 1 - 0 - , - 0 - 0 - 0 - , - 0 - 0 - 0 -   - V - N - D",931,https://mywork.com.vn/tuyen-dung/viec-lam/1013375/cong-ty-goodland-informatics-tuyen-dung-python-developer.html
Công ty TNHH ADC,Chuyên Viên Quản Trị Cơ Sở Dữ Liệu,"10,000,000 - 16,000,000|VND",928,http://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-quan-tri-co-so-du-lieu.35ABEE7B.html
AOI Systems Viet Nam,PYTHON LEADER,"17,000,000 - 25,000,000|VND",925,http://careerbuilder.vn/vi/tim-viec-lam/python-leader.35ABEA85.html
AOI Systems Viet Nam,PYTHON DEVELOPER,"15,000,000 - 20,000,000|VND",926,http://careerbuilder.vn/vi/tim-viec-lam/python-developer.35ABEA90.html
MySquar,"Data Engineer (Python, Database, SQL)",Không xác định,927,https://itviec.com/it-jobs/data-engineer-mysquar-1246
Công Ty TNHH H2 Technology,Back-End Web Developer (Lập trình Web Back-End),Thương lượng,921,https://www.jobstreet.vn/vi/job/back-end-web-developer-lap-trinh-web-back-end-446203?fr=21
Công Ty TNHH H2 Technology,Back-End Web Developer (Lập trình Web Back-End),Thương lượng,921,https://www.jobstreet.vn/vi/job/back-end-web-developer-lap-trinh-web-back-end-446203?fr=21
Công ty TNHH It's A Beautiful Way,Back-end Developer,Thương lượng,922,https://www.jobstreet.vn/vi/job/back-end-developer-446047?fr=21
Công Ty Cổ Phần VNG,Product Owner (Zalo) - 17-ZMB-0353,Thương lượng,919,https://www.jobstreet.vn/vi/job/product-owner-zalo-17-zmb-0353-445859?fr=21
FiteGlobal,"(HCM) Full stack Developer (Python,JavaScript) | Attractive Salary",Thương lượng,920,https://topdev.vn/detail-jobs/hcm-full-stack-developer-pythonjavascript-attractive-salary-5108
Chi Nhánh Tại Thành Phố Hồ Chí Minh - Công Ty TNHH Reeracoen Việt Nam,Data Scientist ID10945PA,Thương lượng,917,https://www.jobstreet.vn/vi/job/data-scientist-id10945pa-445768?fr=21
Công Ty Cổ Phần VNG,Software Engineer (BI/Data Warehouse),Thương lượng,918,https://www.jobstreet.vn/vi/job/software-engineer-bidata-warehouse-445856?fr=21
Cinnamon,[HN] Python developer | Salary From 15.000.000 To 25.000.000 VNĐ,"15,000,000 VNĐ - 25,000,000 VNĐ",916,https://topdev.vn/detail-jobs/hn-python-developer-salary-from-15000000-to-25000000-vnd-5031
SolarBK,Lập Trình Viên Odoo (OpenERP),"10,000,000 - 20,000,000|VND",913,http://careerbuilder.vn/vi/tim-viec-lam/lap-trinh-vien-odoo-openerp.35ABE32E.html
